title,fuel_type,mileage,power,origin,city,region,reg_month,reg_year,garanty,price_neg,price,link
Mercedes-Benz E 220 Coupe AMG Line,Diesel,32448.0,194.0,,Marinha Grande,Leiria,Maio,2018.0,0,Valor Fixo,51000.0,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-coupe-amg-line-ID8ObSSf.html#7ce9f71ee3
Fiat Bravo II 1.6 D Multijet,Diesel,168000.0,105.0,,Alvalade,Lisboa,Agosto,2008.0,0,Negociável,5100.0,https://www.standvirtual.com/anuncio/fiat-bravo-ii-1-6-d-multijet-ID8Op6Pc.html#7ce9f71ee3
BMW M2 Performance,Gasolina,49300.0,370.0,Nacional,Cascais e Estoril,Lisboa,Abril,2016.0,1,Negociável,55000.0,https://www.standvirtual.com/anuncio/bmw-m2-performance-ID8NIjkp.html#7ce9f71ee3
BMW i8 E-Drive 365 C.V J 20,Híbrido (Gasolina),58900.0,365.0,,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",Lisboa,Fevereiro,2016.0,1,Valor Fixo,69450.0,https://www.standvirtual.com/anuncio/bmw-i8-e-drive-365-c-v-j-20-ID8N91FC.html#7ce9f71ee3
BMW 118 d,Diesel,142000.0,143.0,,Sacavém e Prior Velho,Lisboa,Julho,2009.0,0,Negociável,10000.0,https://www.standvirtual.com/anuncio/bmw-118-d-ID8OGmFz.html#7ce9f71ee3
VW Golf 2.0 TDI sport,Diesel,340000.0,140.0,Nacional,Rio Tinto,Porto,Julho,2005.0,0,Negociável,6250.0,https://www.standvirtual.com/anuncio/vw-golf-2-0-tdi-sport-ID8ODVfV.html#7ce9f71ee3
Peugeot 308 SW 1.6 BlueHDi Allure,Diesel,132000.0,120.0,,Azeitão (São Lourenço e São Simão),Setúbal,Setembro,2015.0,0,Negociável,12590.0,https://www.standvirtual.com/anuncio/peugeot-308-sw-1-6-bluehdi-allure-ID8NXZvv.html#7ce9f71ee3
Mercedes-Benz E 220 CDi Elegance,Diesel,390000.0,143.0,Nacional,"Celeirós, Aveleda e Vimieiro",Braga,Novembro,2000.0,0,Valor Fixo,4700.0,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-cdi-elegance-ID8OF5Cy.html#7ce9f71ee3
Mercedes-Benz E 350 CGI Avantgarde BlueEfficiency,Gasolina,55000.0,292.0,Nacional,Carnide,Lisboa,Novembro,2010.0,1,Valor Fixo,25000.0,https://www.standvirtual.com/anuncio/mercedes-benz-e-350-cgi-avantgarde-blueefficiency-ID8OCsR9.html#7ce9f71ee3
Volvo V40 2.0 D2 R-Design Momentum,Diesel,127000.0,120.0,,Azeitão (São Lourenço e São Simão),Setúbal,Agosto,2015.0,0,Negociável,17450.0,https://www.standvirtual.com/anuncio/volvo-v40-2-0-d2-r-design-momentum-ID8O4Bhh.html#7ce9f71ee3
Peugeot 308 SW 1.6 BlueHDi Active J17,Diesel,110000.0,120.0,,Fernão Ferro,Setúbal,Novembro,2015.0,1,Valor Fixo,12988.0,https://www.standvirtual.com/anuncio/peugeot-308-sw-1-6-bluehdi-active-j17-ID8Ovxla.html#7ce9f71ee3
Citroën C4 Grand Picasso Exclusive,Diesel,170000.0,120.0,,Fernão Ferro,Setúbal,Maio,2015.0,1,Negociável,15500.0,https://www.standvirtual.com/anuncio/citron-c4-grand-picasso-exclusive-ID8OtHEE.html#7ce9f71ee3
VW Sharan,Diesel,58000.0,150.0,Nacional,Santo António dos Cavaleiros e Frielas,Lisboa,Maio,2018.0,1,Valor Fixo,33500.0,https://www.standvirtual.com/anuncio/vw-sharan-ID8OkZPB.html#7ce9f71ee3
Mercedes-Benz CLA 220 AMG Panorâmica 4Matic,Diesel,133000.0,170.0,,Santo António dos Cavaleiros e Frielas,Lisboa,Outubro,2016.0,1,Valor Fixo,31500.0,https://www.standvirtual.com/anuncio/mercedes-benz-cla-220-amg-panormica-4matic-ID8OpeuI.html#7ce9f71ee3
BMW 520 Pack M Automática Nav. Prof.,Diesel,142000.0,190.0,,Santo António dos Cavaleiros e Frielas,Lisboa,Junho,2015.0,1,Negociável,29800.0,https://www.standvirtual.com/anuncio/bmw-520-pack-m-automtica-nav-prof-ID8NzSt3.html#7ce9f71ee3
Citroën C4 HDI Seduction CMP6,Diesel,76000.0,112.0,,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",Lisboa,Maio,2010.0,1,Negociável,8500.0,https://www.standvirtual.com/anuncio/citron-c4-hdi-seduction-cmp6-ID8OETWn.html#7ce9f71ee3
Peugeot 308 1.6 BlueHDi Active,Diesel,154000.0,120.0,,Fafe,Braga,Outubro,2016.0,0,Negociável,13100.0,https://www.standvirtual.com/anuncio/peugeot-308-1-6-bluehdi-active-ID8OIazq.html#7ce9f71ee3
Mercedes-Benz C 300 AMG Hybrid Diesel,Híbrido (Diesel),136000.0,231.0,,Santo António dos Cavaleiros e Frielas,Lisboa,Março,2017.0,1,Negociável,36500.0,https://www.standvirtual.com/anuncio/mercedes-benz-c-300-amg-hybrid-diesel-ID8NFyaz.html#7ce9f71ee3
BMW 520 d Touring Automática,Diesel,179000.0,184.0,,Santo António dos Cavaleiros e Frielas,Lisboa,Junho,2012.0,1,Valor Fixo,18900.0,https://www.standvirtual.com/anuncio/bmw-520-d-touring-automtica-ID8O7WFb.html#7ce9f71ee3
VW Golf 1.6 Highline DSG Nacional,Diesel,137000.0,105.0,Nacional,Santo António dos Cavaleiros e Frielas,Lisboa,Fevereiro,2013.0,1,Valor Fixo,14800.0,https://www.standvirtual.com/anuncio/vw-golf-1-6-highline-dsg-nacional-ID8Ojx17.html#7ce9f71ee3
Mercedes-Benz C 220 AMG PACK NIGHT 9G,Diesel,150000.0,170.0,,Santo António dos Cavaleiros e Frielas,Lisboa,Dezembro,2016.0,1,Valor Fixo,32500.0,https://www.standvirtual.com/anuncio/mercedes-benz-c-220-amg-pack-night-9g-ID8OIxcT.html#7ce9f71ee3
Fiat 500 1.2 Twin Air Turbo,Gasolina,49896.0,75.0,Nacional,Ramada e Caneças,Lisboa,Fevereiro,2013.0,1,Negociável,8990.0,https://www.standvirtual.com/anuncio/fiat-500-1-2-twin-air-turbo-ID8OkTRH.html#7ce9f71ee3
Renault Mégane Break 1.5 dCi Extreme,Diesel,180340.0,110.0,,Ramada e Caneças,Lisboa,Junho,2008.0,1,Negociável,4990.0,https://www.standvirtual.com/anuncio/renault-mgane-break-1-5-dci-extreme-ID8NpxFL.html#7ce9f71ee3
Peugeot 208 1.6 BlueHDi Access,Diesel,28340.0,75.0,Nacional,Ramada e Caneças,Lisboa,Março,2016.0,1,Negociável,13750.0,https://www.standvirtual.com/anuncio/peugeot-208-1-6-bluehdi-access-ID8Ocb9b.html#7ce9f71ee3
Renault Mégane Sport Tourer Mégane ST 1.5 dCi Zen,Diesel,49000.0,110.0,,Alcabideche,Lisboa,Outubro,2017.0,1,Valor Fixo,16400.0,https://www.standvirtual.com/anuncio/renault-mgane-sport-tourer-mgane-st-1-5-dci-zen-ID8ObHNb.html#7ce9f71ee3
Renault Captur,Diesel,132140.0,90.0,,Ramada e Caneças,Lisboa,Março,2014.0,1,Negociável,12650.0,https://www.standvirtual.com/anuncio/renault-captur-ID8MuqIf.html#7ce9f71ee3
Land Rover Range Rover Sport,Diesel,55000.0,260.0,Importado,Grijó e Sermonde,Porto,Abril,2017.0,0,Negociável,69500.0,https://www.standvirtual.com/anuncio/land-rover-range-rover-sport-ID8OJlxP.html#7ce9f71ee3
Renault Laguna Break 1.5 dCi SE Line 110g,Diesel,162180.0,110.0,,Ramada e Caneças,Lisboa,Abril,2013.0,1,Negociável,10750.0,https://www.standvirtual.com/anuncio/renault-laguna-break-1-5-dci-se-line-110g-ID8OlnVs.html#7ce9f71ee3
Mercedes-Benz E 220 Avantgarde+,Diesel,78000.0,194.0,,Alcabideche,Lisboa,Janeiro,2018.0,1,Negociável,42900.0,https://www.standvirtual.com/anuncio/mercedes-benz-e-220-avantgarde-ID8ODbjM.html#7ce9f71ee3
Ford Mondeo SW 1.5 TDCI ECONETIC BUSINESS,Diesel,77640.0,120.0,,Ramada e Caneças,Lisboa,Junho,2016.0,1,Negociável,17450.0,https://www.standvirtual.com/anuncio/ford-mondeo-sw-1-5-tdci-econetic-business-ID8LNxRb.html#7ce9f71ee3
Renault Talisman Sport Tourer 1.5 dci ZEN,Diesel,92000.0,110.0,,Alcabideche,Lisboa,Junho,2017.0,0,Negociável,20800.0,https://www.standvirtual.com/anuncio/renault-talisman-sport-tourer-1-5-dci-zen-ID8O5Ml8.html#7ce9f71ee3
BMW M550d,Diesel,107000.0,381.0,Nacional,Cascais e Estoril,Lisboa,Janeiro,2014.0,1,Negociável,45100.0,https://www.standvirtual.com/anuncio/bmw-m550d-ID8OyaY8.html#7ce9f71ee3
Citroën C-Elysée c elysée 1.6 bluehdi seduction,Diesel,110000.0,100.0,,Alcabideche,Lisboa,Janeiro,2016.0,1,Valor Fixo,12300.0,https://www.standvirtual.com/anuncio/citron-c-elyse-c-elyse-1-6-bluehdi-seduction-ID8OuZ6A.html#14a617a363
Audi A6,GPL,198560.0,180.0,Nacional,Ramada e Caneças,Lisboa,Maio,2000.0,1,Negociável,4750.0,https://www.standvirtual.com/anuncio/audi-a6-ID8Mzb84.html#14a617a363
